Team ,Score ,Away Score ,Home Score ,FG% ,FT% ,3PT ,3PT% ,Assists ,Off. Rebounds ,Turnovers ,Def. Rebounds ,Steals ,Score ,Away Score ,Home Score ,FG% ,FT% ,3PT ,3PT% ,Assists ,
Illinois,78.08,75.5,78.55,46.54,65.77,9.08,32.96,14.31,12.54,15.23,27.15,8.23,63.69,74.5,61.73,39.34,70.64,6.15,32.65,11.38,
Illinois State,66.2,60.13,73.14,42.52,79.13,7.33,32.93,10.8,9.4,14.73,25,5.53,68.27,67,69.71,43.42,70.42,6.13,32.39,11.53,
Incarnate Word,69.5,61.13,80.67,43.14,72.98,6.29,34.78,12.14,10,14.36,23.71,8.71,71.21,77,63.5,45.86,67.57,7.29,33.66,14.71,
Indiana,80.08,63.67,85,50.71,69.62,7.08,36.51,17.31,9.23,12.46,27.92,7.23,65.31,75.33,62.3,39.74,68.45,7.38,32.54,11.62,
Indiana State,81.2,81,81.33,47.6,75.19,9.8,33.72,16.07,7.6,12.33,27.67,7.6,70.07,73.83,67.56,41.94,70.65,6.67,32.79,8.93,
Iona,77.43,76.43,78.43,46.59,75.23,6.93,34.15,15.71,10.57,11.07,24.57,7.64,66.29,70.71,61.86,41.32,69.82,5.5,29.62,12.57,
Iowa,81.07,69,90.13,44.61,71.61,7.57,31.74,16.93,12.57,9.93,26.93,6.64,71.36,73.33,69.88,44.41,73.78,6.57,31.83,13.36,
Iowa State,71.42,63.33,74.11,46.44,68.68,6.67,33.61,16.58,11.17,13,21.67,10.83,57.33,75,51.44,38.45,73.15,7,30.11,10,
IUPUI,60.47,60.4,60.6,43.47,71.5,4.13,26.84,9.73,8.4,16.2,21.93,6.07,71.27,76.4,61,46.11,75.1,7.07,33.97,13.53,
Jackson State,66.14,66.14,0,41.07,63.41,6.57,31.51,13.14,12.71,17.64,22.86,7.5,81.36,81.36,0,49.06,75.67,9.29,37.36,16.57,
Jacksonville,65.62,58.63,76.8,46.02,72.61,7.92,36.65,15.46,8.38,12.62,27.08,6.23,58.92,65.38,48.6,38.71,67.32,7.46,28.61,11.31,
Jacksonville State,71.8,64.33,83,44.16,68.97,9.4,38.95,12.87,10.6,12.73,24.8,6.2,71,77.78,60.83,43.17,74.27,9.33,36.55,14.27,
James Madison,89.73,80,104.33,50,69.45,8.6,37.94,14.73,13,14,27.53,11.6,65.27,69,59.67,39.73,64.84,7.07,29.36,11.07,
Kansas,77.86,73.8,80.11,48.21,68.6,8,37.58,18.43,11,12.36,26.71,9.5,65.07,69,62.89,39.95,69.92,7.29,32.18,10.64,
Kansas State,78.5,81,77.82,47.52,72.91,6.93,35.02,18.79,10.93,13.36,24.43,8.07,64.93,77.67,61.45,42.37,65.36,5.86,31.54,11.79,
Kennesaw State,72.87,66,83.17,43.82,63.29,9,37.19,14.2,9.93,13.33,25.33,9.33,66.73,73,57.33,42.18,68.61,6.2,31.42,10.2,
Kent State,75.14,64,86.29,44.09,77.83,8.5,34.39,12.71,9.43,12.29,25.29,10.36,61.64,60,63.29,38.06,68.46,6.57,30.87,10.86,
Kentucky,78.64,74.25,80.4,47.33,66.54,8,39.02,17.86,13.71,11.93,25.71,7.29,66.5,83,59.9,41.48,72.44,6.86,33.92,11.07,
La Salle,68.14,69.14,67.14,41.38,68.83,7.07,32.78,11.86,10.07,13.21,24.43,7.64,73.21,77.14,69.29,45.36,73.26,7.29,35.79,13.64,
Lafayette,61.07,63.6,56,40.54,65.9,9.47,33.26,15.6,7.6,11.8,21.93,5.67,68.27,70.1,64.6,45.49,71.26,8.13,35.88,13.33,
Lamar,68.54,63.67,72.71,42.82,66.05,5.31,26.64,15.23,12.77,14.08,23.38,7.69,77,82.33,72.43,46.38,64.02,10.31,34.9,18.54,
League Average,72.49,66.73,77.27,44.62,70.61,7.53,34.05,13.64,10.37,13.03,25.41,6.93,68.92,64.9,73.75,42.85,70.41,7.17,32.97,12.66,
Lehigh,70.85,66.29,76.17,43.84,70.41,8.23,36.27,13.69,7.92,13.31,28.62,6.77,73.08,80.29,64.67,44.33,66.82,7.62,35.48,12.77,
Liberty,76.2,62.75,81.09,48.26,73.56,12.27,40.89,18.27,7.73,11.2,25.13,7.07,59.73,74.5,54.36,40.99,73.57,6.47,35.02,9.67,
Lindenwood,65.92,62.1,78.67,40.59,71.13,6.85,31.34,11.31,9.08,14.46,26.15,7.15,73.31,77.1,60.67,42.73,71.91,8.31,30.77,15.08,
Lipscomb,75.93,69.5,83.29,47.48,70.22,7.67,33.14,13.67,10.27,12.53,26.67,5.67,70.8,74.63,66.43,43.19,73.09,7.93,34.59,10.93,
LIU,67.93,61.57,74.29,42.3,62.11,5.43,32.62,13.64,10.07,16.93,24.43,6.71,82.5,93.14,71.86,48.38,66.67,7.5,33.33,18.07,
Long Beach State,75.43,75.6,75.33,46,63.57,4.57,30.92,14.79,12.64,13.86,28,8.21,72.5,81.8,67.33,40.86,74.02,8.93,32.3,14.71,
Longwood,78.8,66.75,92.57,46.61,74.4,8.4,37.72,14.13,11.8,11.93,24.73,6.93,67.2,66,68.57,41.94,70.92,8.53,34.13,13.13,
Louisiana Tech,77.71,69.71,85.71,46.1,71.89,9.21,35.05,14.64,11.21,14.64,24.29,9.21,68.21,75.57,60.86,43.45,68.66,8.29,35.91,14.14,
Louisiana-Lafayette,81.64,74,95.4,48.78,71,8.14,38.51,16.29,11.14,12.79,26.29,6.79,72.43,75.56,66.8,43.54,75.43,6.5,33.21,11.64,
Louisiana-Monroe,71.6,62.75,81.71,43.38,69.59,7.2,35.06,14.87,12.13,14.2,23.6,8.53,69.67,76.88,61.43,43.26,75.56,7.8,33.43,13.93,
Louisville,62,59.2,63.4,40.69,72.6,5.87,32,8.93,8.6,16.73,23.6,5.53,74.07,79.6,71.3,46.89,68.63,7.2,33.96,14,
Loyola Marymount,76.88,74.14,79,45.46,65.95,9.63,35.24,12.75,10.69,12.5,26.94,6.13,70,75.14,66,43.17,69.44,6.19,30.84,12.19,
Loyola-Chicago,69.08,63.25,71.67,47.91,70.05,7.38,33.68,13.77,8.77,16.46,24.46,6,69.85,71,69.33,43.42,75.28,6.69,32.46,11.31,
Loyola-Maryland,66.07,58.88,74.29,44.42,64.29,7.67,35.28,14.47,9.2,14.87,21.53,8,70.33,69.5,71.29,48.25,70.56,6.93,36.24,14.27,
LSU,71.93,67.67,73.09,46.02,69.35,7.64,35.79,13.86,9.64,12.43,24.93,8.07,64.14,64.33,64.09,42.3,68.45,6.21,28.25,11.43,
Maine,70.54,62,89.75,46.86,71.34,6.85,32.6,14.31,8.54,12.77,23.85,9.69,68.46,70.44,64,45.87,68.79,7.15,33.94,13,
Manhattan,69.62,66.33,72.43,44.02,65.42,7.92,34.68,12.62,8.54,14.31,22.77,7.77,73.77,76,71.86,45.26,68.62,8.23,36.39,14.54,
Marist,62.83,59.6,65.14,39.36,65.7,8.42,32.06,11.08,9.33,12.75,25.92,6.92,66.58,67.6,65.86,41.43,71.43,8.58,38.58,10.92,
Marquette,82.38,82.2,82.45,49.8,69.64,8.81,34.81,17.88,9,11.44,24.19,9.19,70.88,78.6,67.36,43.63,67.88,7.88,34.24,14.56,
Marshall,82.13,79,83.7,46.72,62.25,8.07,32.79,19.27,15.2,12.07,28.4,9.13,68.53,71.6,67,40.29,63.68,7.4,31.27,12.47,
Maryland,72.79,73.4,72.44,45.03,70.49,7.14,30.77,11.07,9.79,11.93,26.79,5.21,63.21,67.2,61,39.68,69.36,5.14,28.24,10,
Maryland-Eastern Shore,66.17,59.38,79.75,41.46,72.02,7.92,34.8,12.92,9.42,14.25,22.5,9.83,69,76.38,54.25,44.63,73.85,7.08,32.44,13.25,
McNeese State,64.29,58.33,75,41.96,55.67,8.14,32.76,11.07,12.21,16.5,22.71,8.86,74.14,75.89,71,46.55,63.7,9.86,37.81,18.57,
Memphis,78.67,81.33,76.89,47.01,72.05,5.47,32.54,16.27,11.4,13.67,25.27,9.67,71,81.17,64.22,38.98,74.3,8.07,31.84,13.6,
Mercer,74.87,73.57,76,49.06,71.37,6.67,37.45,16.53,9.47,11.93,24.8,5.73,70.2,76.14,65,43.04,74.58,6.87,34.68,12.13,
Merrimack,56.5,55.3,58.5,38.19,71.59,6.69,27.51,10.5,5.63,15.31,20.63,10.44,64.94,71.2,54.5,42.87,78.32,6.5,30.95,14.75,
Miami,77.86,74,78.91,48.27,75.53,7.21,33.55,15.14,11,11.29,23.71,8,67.79,60.67,69.73,42.77,73.08,7.07,31.63,13.36,
Miami-Ohio,75,65.8,80.11,43.76,80.08,9.07,34.79,14.07,10.14,14.29,22.71,7.36,74.21,80.2,70.89,46.42,74.1,8.07,36.57,14.36,
Michigan,76.31,79.75,74.78,45.2,68.13,7.69,34.97,13.08,8.77,9.62,28.31,5.54,69.38,75.5,66.67,41.8,65.35,7.08,31.62,12.15,
Michigan State,71.21,65,73.7,44.7,73.53,7.5,37.5,16.93,9.93,10.93,28.21,5,65.79,67.25,65.2,40.15,69.51,7.29,30.09,12.93,
Middle Tennessee,71.14,67.29,75,45.41,66.53,6.36,30.38,11.64,11.86,13.43,23.07,8.14,65.71,72,59.43,44.49,74.5,6.79,36.54,11.57,
Minnesota,63.15,62.25,63.56,42.69,58.97,6.69,33.08,13.77,10,13.92,25.54,4.92,66.46,72.5,63.78,41.52,72.33,7.15,33.94,13.08,
Ole Miss,68.64,61.5,71.5,43.47,68,5.64,29.37,12.36,12.93,13.36,25.29,7.79,64.93,69.75,63,41.09,72.81,6.21,34.12,13.21,
Mississippi State,67.07,61,70.44,42.05,63.22,6.57,30.56,15.21,13.5,12.64,25.14,9.93,56.86,61,54.56,38.87,71.03,7.36,31.12,12.64,
Mississippi Valley State,53.33,51.77,63.5,37.05,63.32,4.27,32.99,8.27,10.07,17.33,21.67,6.33,76.73,77.15,74,45.9,68.99,9.27,35.1,15.93,
Missouri,88.77,83,90.5,51.14,75.11,10,37.14,19.62,10.54,12.31,22.38,12.46,74.69,73.67,75,43.59,74,9.23,36.04,13.69,
Missouri State,65.36,66,64.71,44.07,58.97,8.29,33.62,11.79,10,12.21,24.43,7,61.21,66,56.43,41.81,66.51,6.29,32.47,10.64,
Monmouth,59.36,62.67,53.4,39.18,62.26,4.5,27.75,11.5,10.93,16.79,20.43,8,81.36,85.56,73.8,50,70.75,9.71,40.12,15.43,
Montana,69.14,65.67,71.75,45.23,77.46,7.5,35.12,11.43,7.57,11.57,23.57,4.86,69.21,76.67,63.63,44.34,76.54,5.64,29.81,11.29,
Montana State,76.6,65.63,89.14,47.4,72.26,7.87,34.4,14.4,9.27,12.8,26.33,6.73,68.4,73,63.14,41.71,75.35,7,32.41,8.87,
Morehead State,70.93,59.75,83.71,42.34,74.29,7.07,31.18,13.4,10.4,13,27.2,6.07,68.2,76.38,58.86,44.38,68.92,5.07,27.34,10.8,
Morgan State,79.83,67.57,97,47.21,68.78,7,38.18,16.83,12.58,15.75,22.67,12.25,72.25,80.71,60.4,42.94,67.56,6.25,29.64,14.5,
Mount St. Mary's,64.07,66.5,59.2,41.69,72.35,6.8,35.05,13.73,10.47,13.8,24.13,6.4,65,69.8,55.4,42.28,66.94,6.73,33.55,11.27,
Murray State,71.36,72.38,70,44.85,71.38,6.29,31.54,12.57,9.64,11.29,27.21,5.36,68.64,72.75,63.17,42.09,69.71,7,29.34,13.07,
Navy,72.57,69.13,77.17,46.87,71.35,9.29,40.37,15.57,10.21,12.64,24.64,6.07,69.86,72.75,66,44.39,66.97,8.43,34.6,13.79,
Nebraska,67.27,58.5,73.11,44.01,63.45,6.27,29.28,13.53,11,13,27.07,5.93,65.4,70.33,62.11,41.16,62.13,8.13,32.11,15.33,
Nebraska-Omaha,68.87,58.14,78.25,44.55,79.18,5.8,33.46,12.87,8.07,13.67,22.73,6.4,77,81.86,72.75,47.51,73.91,8.6,38.05,14.87,
Nevada,73.2,71.57,74.63,43.35,79.21,7.87,35.01,14,7.6,10.53,27.47,5.53,65.07,70.43,60.38,39.51,71.54,7.13,31.94,11.53,
New Hampshire,67.08,58.57,77,39.51,73.02,8.92,36.02,12.38,11.38,10.46,27.08,5.54,64,66.14,61.5,40.08,69.71,6,29.21,9.85,
New Mexico,83,72.6,88.2,48.83,73.56,6,36.44,15.53,10.13,11.8,29.07,7.67,68.53,67.6,69,41.04,65.4,7.6,32.57,13.2,
New Mexico State,77.21,71,80.67,45.66,69.14,8.36,35.45,13.5,10.64,12.29,26.93,7.71,67.79,70,66.56,39.98,70.68,8.21,31.68,11.71,
New Orleans,68.67,62.5,74.83,43.43,69.57,6.33,39.18,14.58,8.92,18.42,20.75,6.67,82.58,91,74.17,51.39,71,8.17,37.69,14.83,
Niagara,64.62,59.29,70.83,44.24,71.65,6.69,36.1,12,8.38,11.85,23.85,4.69,64.38,68.71,59.33,42.11,70.72,5.54,33.64,9.08,
Nicholls State,77.85,68.71,88.5,45.4,64.81,7.77,33.33,15.31,11.15,15.15,24.08,10.62,73.31,83.43,61.5,43.98,67.31,6.31,28.77,14.92,
NJIT,63.93,64.63,63,41.07,65.04,6.57,32.86,12.5,8.93,12,24.86,6.14,68.93,74.38,61.67,43.54,67.09,6.71,32.19,12.29,
Norfolk State,74.43,65.75,86,46.9,71.01,7.21,32.69,13.93,10.79,12,24.07,6.64,70,76.75,61,41.79,63.81,9.79,36.34,15.43,
North Alabama,75.13,69.44,83.67,46.71,67.62,7.53,38.18,12.73,9.4,12.27,26.87,6.13,70.4,77.11,60.33,43.64,65.81,7.27,36.21,12.53,
North Carolina,80.93,77.67,83.38,45.74,73.9,6.43,30.82,12.93,10.64,11.64,29.57,5.93,74.64,81.17,69.75,43.12,67.94,8.07,33.83,13.21,
North Carolina A&T,71.73,63.63,81,42.81,69.71,9.33,35.53,12.07,8.67,12.4,25.2,7.47,73.2,82,63.14,45.34,67.13,6.53,31.92,13.73,
North Carolina Central,79.46,68.71,92,48.55,72.86,8.62,41.64,16.38,9.62,13.77,24.69,9,67.31,77.14,55.83,44.77,62.45,6.77,30.66,14.38,
NC State,79.53,72.25,82.18,45.33,71.22,9.07,35.23,14.67,11.6,10.87,26.33,8.87,68.27,70.75,67.36,43.02,69.26,6.07,31.6,11.93,
North Dakota,70.5,63.43,77.57,45.95,65.61,8.29,35.91,12.93,10,14.21,24.86,4.71,71.57,75.71,67.43,45.36,68.14,6.86,34.29,10.86,
North Dakota State,70.64,64.67,81.4,42.93,67.83,7.86,30.9,10.86,8.79,12.64,26.71,4.14,76.79,79.11,72.6,46.34,75.67,6.43,33.83,12.43,
North Florida,74.86,67,89,43.93,68.97,9.29,32.58,13.86,9.43,13.71,27,5.36,76.86,84.67,62.8,44.3,74.06,5.36,32.05,15.29,
North Texas,61.71,61.67,61.75,39.65,71.14,7.07,31.33,10,12.93,10.86,23.36,6.57,52.07,53.17,51.25,37.73,65.65,5.07,30.74,7.79,
Northeastern,65.46,63.5,68.6,41.15,62.44,7.38,32.11,13,11.54,14.38,25.46,5.77,69.77,74,63,43.38,68.98,5.38,31.53,11.08,
Northern Arizona,72.13,67.5,81.4,42.29,69.75,8.4,34.05,14.8,10.93,12.4,24.67,6,75.87,81.2,65.2,46.31,75.49,6.93,33.88,13.27,
Northern Colorado,72.21,70.25,74.83,42.82,77.66,8.93,35.71,11.57,7.57,13,24.64,4.21,80.5,85.13,74.33,47.59,74.73,6.79,33.69,13.21,
Northern Illinois,69.23,64.6,84.67,44.15,68.06,6.85,32.13,11,9.23,15.85,24.85,6.38,76.23,75.2,79.67,45.44,70.08,7.54,34.03,13.31,
Northern Iowa,69.64,65.5,72.75,45.49,66.54,7.14,33,11.29,8.57,12.93,24.93,7.14,66,67.67,64.75,43,70.22,8.79,33.24,11.71,
Northern Kentucky,66.33,53.75,70.91,42.47,63.95,7.2,33.75,13.27,11.47,12.67,21.93,9.4,63.47,64.75,63,43.42,65.47,8,39.09,13.93,
Northwestern,67.31,72.5,66.36,38.35,75,8.08,30.88,13.77,12,11.46,27.23,8.31,57,63,55.91,36.02,69.12,7.69,32.26,12.15,
Northwestern State,70.07,66.5,74.83,39.19,67.63,9.07,34.32,10.71,13.79,11.07,19.79,8.86,72.86,74.63,70.5,45.91,76.66,5.79,32.02,14.14,
Notre Dame,69.67,62,72.45,45.91,78.31,8.87,37.68,11.93,6.33,9.33,24.33,4.33,68.53,70.75,67.73,46.14,76.27,6.07,31.82,12.4,
Oakland,73.13,67.71,77.88,43.22,72.59,7.93,31.15,12.13,8.47,10.53,22.93,6.67,77.67,84,72.13,46.61,72.33,9.07,36.07,18.47,
Ohio,77.07,71.75,84.17,45.63,71.75,8.21,35.83,13.93,12.29,11.71,27.43,6.5,70.5,77.88,60.67,41.45,64.85,8.14,34.23,13.21,
Ohio State,81,77.4,83.25,49.25,73.04,7.62,37.5,14.46,12.54,11.62,28.31,4.77,64.46,73.6,58.75,39.6,70.31,5.77,27.37,11.38,
Oklahoma,69,68.5,69.22,50.3,71.5,7.15,39.41,14.15,6.08,12.62,25.54,5.69,61.38,60.75,61.67,42.4,72.57,4.85,26.81,9.38,
Oklahoma State,71,69.14,72.86,45.18,72.4,7.21,33.67,13.64,11.07,14.86,27.21,6.43,61.93,66,57.86,36.77,73.58,6.71,28.4,10.29,
Old Dominion,67.79,62.75,69.8,43.12,62.46,5,34.65,11.14,12.79,10.64,25.36,6.29,64.79,71.75,62,42.22,67.07,7.14,30.96,12.93,
Oral Roberts,85,75.86,93,46.76,76.47,11.27,37.31,15.93,9.47,10.4,28.07,7.33,72.53,76.71,68.88,41.53,72.17,9.4,37.2,11.67,
Oregon,70.14,63,71.33,45.27,66.18,6.71,30.32,13.29,11.86,13.21,26.14,5.57,65.07,69.5,64.33,40.78,76,7.57,32.62,12.07,
Oregon State,65.5,64.6,66,44.24,75.74,5.79,32.14,11.86,6.93,13.29,24.36,5.07,65.64,75.2,60.33,40.59,74.16,6.5,31.27,11.79,
Pacific,74.12,80.17,70.82,44.73,70.12,8.71,38.24,11.76,8.82,12.53,23.47,5.76,73.18,76,71.64,45.77,64.85,7.65,35.42,13.24,
Penn State,76,73.75,76.9,46.52,77.91,11,38.79,15.64,6.07,8.79,28.43,5.29,66,69.25,64.7,39.79,72.86,7.79,32.54,13.86,
Pennsylvania,74.2,66.57,80.88,45.85,74.79,8.4,34.9,15.6,10.27,13,26.87,5.6,72.73,75.29,70.5,42.28,68.11,8.67,32.83,13.2,
Pepperdine,78.53,71,82.3,47.04,69.51,8.87,38.11,15.33,9,14.67,29,5.8,76.27,88.8,70,42.86,69.69,6.93,32.81,13.6,
PFW,77.21,67.14,87.29,45.15,67.56,10.5,34.83,14.86,10.07,13.79,28.64,8,63.93,67.43,60.43,40.54,67.25,6.71,27.33,10.64,
Pittsburgh,75.27,76,74.9,45.08,73.52,8.67,34.03,14.8,11.47,13.07,27.93,5.67,67.73,69.2,67,41.09,65.63,7.07,29.94,12.87,
Portland,77.59,65.17,84.36,45.83,71.03,9.53,37.67,15.88,8.18,12.94,26.12,5.29,73.29,70.67,74.73,43.18,68.46,9.18,36.97,13.41,
Portland State,78.71,72.5,87,44.57,75.08,8,33.43,14.57,10.93,13.14,22.57,8.29,73.21,80.63,63.33,43.2,76.05,6.71,34.06,12.57,
Prairie View A&M,69.5,65.3,80,41.11,70.87,5.79,29.14,11.36,11.79,12.93,21.79,7.93,73.36,76.1,66.5,46.76,73.08,7.29,36.96,12.29,
Presbyterian,64.67,55.57,72.63,42.48,62.67,5.8,29.59,11.33,11.27,12.87,22.93,5.4,68.4,74.43,63.13,45.27,66.42,6.8,34.23,11.67,
Princeton,75.79,75.2,76.11,47.8,69.51,8.71,36.09,14.71,9.57,13.29,30,5.57,65.07,65.2,65,41.4,67.14,5.86,30.6,11.14,
Providence,80.2,71.83,85.78,47.52,72.83,6.07,33.96,15.07,12.87,13.33,27.27,8.07,67.73,66.83,68.33,41.88,76.17,6.33,33.1,10.87,
Purdue,76.29,77,76,45.52,74.92,7,30.53,15.43,12.93,10.36,28.29,4.71,60.86,66.25,58.7,38.86,72.67,6.5,28.35,11.86,
Queens,80.4,74.7,91.8,45.78,71.38,9.2,34.67,14.87,13,13.87,27.93,6.4,72.33,72.9,71.2,44.08,67.76,7.07,31.45,13.4,
Quinnipiac,73.4,74.86,72.13,44.31,62.84,8.07,36.23,13.6,12.27,13,27.07,6.8,68.13,71.86,64.88,41.14,70.85,7.27,30.88,12.07,
Radford,72.67,67.9,82.2,46.47,66.54,7.27,37.33,12.93,9.93,12.13,23.67,7.6,65.47,69.7,57,43.63,71.2,6.53,33.79,11.73,
Rhode Island,65.62,58.25,68.89,39.78,73.48,5.15,29.65,12.54,12.69,14.69,25.85,5.77,68.38,69.25,68,42.16,69.29,6.31,31.42,13.15,
